name;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma
'unknown';0.000000;2.534808e-001;0;4.485785e-003
'unknown';0.010000;3.517937e-001;0;2.242893e-003
'unknown';0.020000;4.654193e-001;160;0
'unknown';0.030000;5.931549e-001;320;0
'unknown';0.040000;6.337673e-001;4.769231e+002;0
'unknown';0.050000;6.518232e-001;4.738462e+002;2.242893e-003
'unknown';0.060000;6.354573e-001;4.738462e+002;2.242893e-003
'unknown';0.070000;6.659806e-001;4.745930e+002;2.242893e-003
'unknown';0.080000;7.089580e-001;4.761479e+002;0
'unknown';0.090000;7.572699e-001;4.777640e+002;0
'unknown';0.100000;7.360604e-001;4.817103e+002;2.242893e-003
'unknown';0.110000;7.159801e-001;4.832483e+002;4.485785e-003
'unknown';0.120000;7.168896e-001;4.800480e+002;4.485785e-003
'unknown';0.130000;7.478891e-001;4.784478e+002;5.642483e-003
'unknown';0.140000;7.780564e-001;4.800480e+002;5.642483e-003
'unknown';0.150000;7.837186e-001;4.832483e+002;5.642483e-003
'unknown';0.160000;7.783601e-001;4.856731e+002;4.485785e-003
'unknown';0.170000;7.833312e-001;4.873222e+002;4.485785e-003
'unknown';0.180000;7.994719e-001;4.889713e+002;7.885375e-003
'unknown';0.190000;7.958911e-001;4.897959e+002;5.642483e-003
'unknown';0.200000;7.865011e-001;4.897959e+002;7.735509e-003
'unknown';0.210000;7.697592e-001;4.897959e+002;6.578812e-003
'unknown';0.220000;7.490107e-001;4.873712e+002;6.578812e-003
'unknown';0.230000;7.169234e-001;4.841219e+002;2.242893e-003
'unknown';0.240000;6.801654e-001;4.824727e+002;0
'unknown';0.250000;6.408610e-001;4.832483e+002;4.335920e-003
'unknown';0.260000;6.373413e-001;4.856731e+002;4.335920e-003
'unknown';0.270000;6.731446e-001;4.873222e+002;4.335920e-003
'unknown';0.280000;6.888233e-001;4.881468e+002;0
'unknown';0.290000;6.530294e-001;4.881468e+002;3.399589e-003
'unknown';0.300000;6.151726e-001;4.881468e+002;5.642483e-003
'unknown';0.310000;6.302643e-001;4.889713e+002;7.885375e-003
'unknown';0.320000;7.009022e-001;4.873712e+002;4.485785e-003
'unknown';0.330000;7.576440e-001;4.825217e+002;5.642483e-003
'unknown';0.340000;7.586476e-001;4.776723e+002;3.399589e-003
'unknown';0.350000;6.798465e-001;4.729627e+002;7.735509e-003
'unknown';0.360000;5.120773e-001;4.706778e+002;4.335920e-003
'unknown';0.370000;4.070674e-001;3.122620e+002;4.335920e-003
'unknown';0.380000;3.869864e-001;1.561310e+002;0
'unknown';0.390000;4.667527e-001;0;0
'unknown';0.400000;4.684947e-001;0;0
'unknown';0.410000;3.702230e-001;0;2.242893e-003
'unknown';0.420000;3.088805e-001;0;2.242893e-003
'unknown';0.430000;2.928817e-001;0;2.242893e-003
'unknown';0.440000;2.907434e-001;0;0
'unknown';0.450000;2.323512e-001;0;0
'unknown';0.460000;2.325410e-001;0;0
'unknown';0.470000;2.971845e-001;0;0
'unknown';0.480000;4.492312e-001;0;0
'unknown';0.490000;5.892698e-001;1.632653e+002;0
'unknown';0.500000;7.126198e-001;3.265306e+002;0
'unknown';0.510000;7.644264e-001;4.897959e+002;0
'unknown';0.520000;7.713995e-001;4.897959e+002;3.399589e-003
'unknown';0.530000;7.650864e-001;4.897959e+002;3.399589e-003
'unknown';0.540000;7.832367e-001;4.889713e+002;8.552403e-003
'unknown';0.550000;8.284392e-001;4.873222e+002;5.152814e-003
'unknown';0.560000;8.764135e-001;4.856731e+002;9.488734e-003
'unknown';0.570000;8.825167e-001;4.848485e+002;7.735509e-003
'unknown';0.580000;8.520114e-001;4.848485e+002;1.288832e-002
'unknown';0.590000;7.726786e-001;4.840404e+002;8.552403e-003
'unknown';0.600000;6.824729e-001;4.824242e+002;8.552403e-003
'unknown';0.610000;6.373862e-001;4.792395e+002;6.799179e-003
'unknown';0.620000;6.246169e-001;4.776708e+002;6.799179e-003
'unknown';0.630000;5.628940e-001;4.792870e+002;3.399589e-003
'unknown';0.640000;4.998971e-001;3.208556e+002;0
'unknown';0.650000;4.593720e-001;1.616162e+002;0
'unknown';0.660000;4.089207e-001;0;0
'unknown';0.670000;3.195279e-001;0;0
'unknown';0.680000;2.630233e-001;0;0
'unknown';0.690000;3.012705e-001;0;0
'unknown';0.700000;2.901353e-001;0;2.242893e-003
'unknown';0.710000;2.226359e-001;0;2.242893e-003
'unknown';0.720000;1.690416e-001;0;2.242893e-003
'unknown';0.730000;1.781148e-001;0;0
'unknown';0.740000;2.829798e-001;0;0
'unknown';0.750000;4.359097e-001;0;0
'unknown';0.760000;5.825803e-001;1.568627e+002;0
'unknown';0.770000;5.948228e-001;3.169268e+002;0
'unknown';0.780000;5.527170e-001;3.169268e+002;3.399589e-003
'unknown';0.790000;5.048721e-001;1.600640e+002;5.642483e-003
'unknown';0.800000;5.872723e-001;0;5.642483e-003
'unknown';0.810000;6.686418e-001;1.584158e+002;4.485785e-003
'unknown';0.820000;7.649049e-001;3.168317e+002;2.242893e-003
'unknown';0.830000;8.171595e-001;4.768477e+002;6.578812e-003
'unknown';0.840000;8.471014e-001;4.808726e+002;4.335920e-003
'unknown';0.850000;8.554599e-001;4.857220e+002;6.578812e-003
'unknown';0.860000;8.651659e-001;4.889713e+002;6.578812e-003
'unknown';0.870000;8.721625e-001;4.897959e+002;8.821704e-003
'unknown';0.880000;8.449309e-001;4.897959e+002;6.578812e-003
'unknown';0.890000;7.267472e-001;4.881632e+002;7.395707e-003
'unknown';0.900000;6.248332e-001;4.848979e+002;9.488734e-003
'unknown';0.910000;5.379711e-001;4.771043e+002;9.488734e-003
'unknown';0.920000;5.000874e-001;3.154717e+002;7.735509e-003
'unknown';0.930000;4.246063e-001;1.554717e+002;8.552403e-003
'unknown';0.940000;3.405699e-001;0;1.288832e-002
'unknown';0.950000;2.632397e-001;0;9.488734e-003
'unknown';0.960000;2.076633e-001;0;4.335920e-003
'unknown';0.970000;2.185661e-001;0;5.152814e-003
'unknown';0.980000;2.529119e-001;0;5.152814e-003
'unknown';0.990000;2.506811e-001;0;5.315918e-002
'unknown';1.000000;2.654707e-001;0;4.800637e-002
'unknown';1.010000;3.002012e-001;0;5.024926e-002
'unknown';1.020000;4.215518e-001;0;1.915693e-002
'unknown';1.030000;5.661952e-001;0;3.499829e-002
'unknown';1.040000;6.997482e-001;1.582229e+002;8.417296e-002
'unknown';1.050000;7.664064e-001;3.109810e+002;1.865311e-001
'unknown';1.060000;6.997194e-001;4.533564e+002;2.797719e-001
'unknown';1.070000;6.545024e-001;2.951335e+002;3.561788e-001
'unknown';1.080000;6.371766e-001;2.709948e+002;2.779355e-001
'unknown';1.090000;6.508253e-001;2.532543e+002;1.902769e-001
'unknown';1.100000;6.554071e-001;3.703187e+002;1.476217e-001
'unknown';1.110000;6.484132e-001;3.519502e+002;1.660980e-001
'unknown';1.120000;5.770710e-001;3.314266e+002;1.582086e-001
'unknown';1.130000;4.103136e-001;2.143623e+002;9.098246e-002
'unknown';1.140000;2.613385e-001;1.041113e+002;6.162779e-002
'unknown';1.150000;2.398237e-001;0;7.265472e-002
'unknown';1.160000;3.897212e-001;0;1.049528e-001
'unknown';1.170000;5.744916e-001;5.882353e+001;9.341002e-002
'unknown';1.180000;7.595537e-001;1.173262e+002;1.013210e-001
'unknown';1.190000;8.328192e-001;1.749885e+002;5.697075e-002
'unknown';1.200000;8.370984e-001;1.731052e+002;1.022977e-001
'unknown';1.210000;7.730906e-001;1.708459e+002;1.657459e-001
'unknown';1.220000;7.101502e-001;1.682690e+002;2.734209e-001
'unknown';1.230000;6.275566e-001;1.656583e+002;2.267477e-001
'unknown';1.240000;5.656183e-001;1.094150e+002;1.710763e-001
'unknown';1.250000;5.057516e-001;5.432953e+001;1.070710e-001
'unknown';1.260000;5.124534e-001;0;1.197214e-001
'unknown';1.270000;4.678341e-001;0;1.201128e-001
'unknown';1.280000;3.890053e-001;0;8.711370e-002
'unknown';1.290000;2.670361e-001;0;8.230446e-002
'unknown';1.300000;2.132326e-001;0;5.111901e-002
'unknown';1.310000;2.575223e-001;0;6.251197e-002
'unknown';1.320000;4.051077e-001;0;8.382688e-002
'unknown';1.330000;5.699261e-001;4.469274e+001;8.790627e-002
'unknown';1.340000;6.751881e-001;9.180691e+001;8.340424e-002
'unknown';1.350000;6.595177e-001;1.410395e+002;1.055687e-001
'unknown';1.360000;6.707963e-001;1.449808e+002;1.662445e-001
'unknown';1.370000;7.056032e-001;1.448930e+002;1.567280e-001
'unknown';1.380000;7.741427e-001;1.413095e+002;1.281978e-001
'unknown';1.390000;8.021734e-001;1.383902e+002;2.611317e-001
'unknown';1.400000;8.188453e-001;1.374749e+002;4.434100e-001
'unknown';1.410000;8.321821e-001;1.383377e+002;4.648089e-001
