name;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma
'unknown';0.000000;6.811852e-001;1.616162e+002;6.799179e-003
'unknown';0.010000;6.511804e-001;3.232323e+002;3.399589e-003
'unknown';0.020000;6.648748e-001;4.856731e+002;0
'unknown';0.030000;7.186170e-001;4.856895e+002;3.399589e-003
'unknown';0.040000;7.655646e-001;4.857061e+002;3.399589e-003
'unknown';0.050000;7.143670e-001;4.865306e+002;3.399589e-003
'unknown';0.060000;5.960268e-001;4.873387e+002;4.335920e-003
'unknown';0.070000;5.555200e-001;3.257061e+002;6.578812e-003
'unknown';0.080000;6.128688e-001;3.257061e+002;6.578812e-003
'unknown';0.090000;7.281389e-001;3.257061e+002;2.242893e-003
'unknown';0.100000;7.642501e-001;4.873222e+002;2.242893e-003
'unknown';0.110000;7.738473e-001;4.856731e+002;7.395707e-003
'unknown';0.120000;7.886364e-001;4.848485e+002;9.638600e-003
'unknown';0.130000;8.223958e-001;4.848485e+002;7.395707e-003
'unknown';0.140000;8.606636e-001;4.856731e+002;2.242893e-003
'unknown';0.150000;5.967110e-001;4.873222e+002;4.335920e-003
'unknown';0.160000;5.684717e-001;3.257061e+002;6.578812e-003
'unknown';0.170000;5.216535e-001;3.248815e+002;1.246983e-002
'unknown';0.180000;7.781632e-001;3.232323e+002;8.133913e-003
'unknown';0.190000;7.927343e-001;4.856731e+002;5.891020e-003
'unknown';0.200000;7.873421e-001;4.864977e+002;3.399589e-003
'unknown';0.210000;7.575422e-001;4.864977e+002;5.642483e-003
'unknown';0.220000;6.981141e-001;4.825349e+002;5.642483e-003
'unknown';0.230000;6.525825e-001;4.777641e+002;4.485785e-003
'unknown';0.240000;5.962780e-001;4.769560e+002;2.242893e-003
'unknown';0.250000;5.666379e-001;4.800941e+002;4.485785e-003
'unknown';0.260000;5.304759e-001;3.224242e+002;5.642483e-003
'unknown';0.270000;5.605984e-001;1.616162e+002;5.642483e-003
'unknown';0.280000;5.305720e-001;0;3.399589e-003
'unknown';0.290000;5.956094e-001;0;0
'unknown';0.300000;5.970474e-001;160;3.399589e-003
'unknown';0.310000;6.810148e-001;320;6.799179e-003
'unknown';0.320000;6.925272e-001;4.808081e+002;6.799179e-003
'unknown';0.330000;5.739775e-001;4.824242e+002;7.735509e-003
'unknown';0.340000;4.919499e-001;3.224242e+002;6.578812e-003
'unknown';0.350000;3.499502e-001;1.616162e+002;6.578812e-003
'unknown';0.360000;3.959461e-001;0;4.485785e-003
'unknown';0.370000;4.718726e-001;0;2.242893e-003
'unknown';0.380000;5.986402e-001;1.632653e+002;7.395707e-003
'unknown';0.390000;6.780844e-001;3.257061e+002;8.552403e-003
'unknown';0.400000;6.772311e-001;4.873222e+002;8.552403e-003
'unknown';0.410000;6.808227e-001;4.864977e+002;5.642483e-003
'unknown';0.420000;7.170405e-001;4.841209e+002;5.642483e-003
'unknown';0.430000;7.373915e-001;4.801440e+002;5.642483e-003
'unknown';0.440000;7.512701e-001;4.777193e+002;5.642483e-003
'unknown';0.450000;7.597633e-001;4.792715e+002;2.242893e-003
'unknown';0.460000;7.814354e-001;4.832483e+002;4.485785e-003
'unknown';0.470000;7.953952e-001;4.848485e+002;6.578812e-003
'unknown';0.480000;7.929743e-001;4.848485e+002;8.821704e-003
'unknown';0.490000;7.899301e-001;4.848485e+002;6.578812e-003
'unknown';0.500000;8.021792e-001;4.848485e+002;6.578812e-003
'unknown';0.510000;8.241976e-001;4.840404e+002;6.578812e-003
'unknown';0.520000;8.315989e-001;4.824242e+002;6.578812e-003
'unknown';0.530000;8.001296e-001;4.808081e+002;5.642483e-003
'unknown';0.540000;7.636903e-001;480;6.799179e-003
'unknown';0.550000;7.199194e-001;480;9.042072e-003
'unknown';0.560000;6.470240e-001;4.808081e+002;7.885375e-003
'unknown';0.570000;5.420951e-001;3.208081e+002;4.485785e-003
'unknown';0.580000;4.203391e-001;1.608081e+002;2.242893e-003
'unknown';0.590000;4.326397e-001;0;0
'unknown';0.600000;5.204890e-001;0;0
'unknown';0.610000;6.446888e-001;1.632653e+002;0
'unknown';0.620000;6.386824e-001;3.265306e+002;0
'unknown';0.630000;6.165821e-001;3.265306e+002;0
'unknown';0.640000;5.860468e-001;3.232653e+002;0
'unknown';0.650000;5.928604e-001;320;0
'unknown';0.660000;5.503084e-001;320;2.242893e-003
'unknown';0.670000;5.371731e-001;160;2.242893e-003
'unknown';0.680000;5.554443e-001;1.632653e+002;5.642483e-003
'unknown';0.690000;5.855145e-001;3.257061e+002;3.399589e-003
'unknown';0.700000;6.408105e-001;4.881468e+002;6.799179e-003
'unknown';0.710000;6.736496e-001;4.865141e+002;5.642483e-003
'unknown';0.720000;6.821303e-001;4.857061e+002;5.642483e-003
'unknown';0.730000;6.186216e-001;4.865306e+002;4.485785e-003
'unknown';0.740000;5.533623e-001;3.248979e+002;2.242893e-003
'unknown';0.750000;5.179676e-001;1.632653e+002;4.485785e-003
'unknown';0.760000;5.187235e-001;0;4.485785e-003
'unknown';0.770000;5.322830e-001;0;4.485785e-003
'unknown';0.780000;5.920810e-001;0;2.242893e-003
'unknown';0.790000;6.799490e-001;1.568627e+002;2.242893e-003
'unknown';0.800000;6.777341e-001;3.169268e+002;2.242893e-003
'unknown';0.810000;4.761022e-001;3.169268e+002;6.578812e-003
'unknown';0.820000;2.393475e-001;1.600640e+002;6.578812e-003
'unknown';0.830000;1.009856e-001;0;8.821704e-003
'unknown';0.840000;1.193497e-001;0;9.638599e-003
'unknown';0.850000;1.718841e-001;0;1.079530e-002
'unknown';0.860000;2.499848e-001;0;1.288832e-002
'unknown';0.870000;3.565707e-001;0;1.362653e-002
'unknown';0.880000;4.384863e-001;0;1.246983e-002
'unknown';0.890000;4.431466e-001;0;1.153350e-002
'unknown';0.900000;3.708754e-001;0;9.978402e-003
'unknown';0.910000;3.100389e-001;0;7.735509e-003
'unknown';0.920000;3.010110e-001;0;7.735509e-003
'unknown';0.930000;3.441487e-001;0;5.642483e-003
'unknown';0.940000;4.553788e-001;0;1.221451e-002
'unknown';0.950000;4.269130e-001;0;1.221451e-002
'unknown';0.960000;3.562716e-001;0;1.337120e-002
'unknown';0.970000;2.433946e-001;0;1.113510e-002
