name;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma
'unknown';0.000000;2.343745e-001;0;4.485785e-003
'unknown';0.010000;2.062073e-001;0;2.242893e-003
'unknown';0.020000;1.922393e-001;0;0
'unknown';0.030000;1.876721e-001;0;0
'unknown';0.040000;2.264563e-001;0;0
'unknown';0.050000;2.523478e-001;0;0
'unknown';0.060000;2.980034e-001;0;0
'unknown';0.070000;3.273253e-001;0;0
'unknown';0.080000;3.804596e-001;0;0
'unknown';0.090000;4.857571e-001;0;0
'unknown';0.100000;6.329343e-001;160;0
'unknown';0.110000;7.619753e-001;3.216327e+002;0
'unknown';0.120000;7.229462e-001;4.840734e+002;3.399589e-003
'unknown';0.130000;6.372612e-001;3.240734e+002;7.735509e-003
'unknown';0.140000;6.456543e-001;1.624407e+002;7.735509e-003
'unknown';0.150000;6.432756e-001;0;9.488734e-003
'unknown';0.160000;7.310554e-001;0;9.488734e-003
'unknown';0.170000;6.997169e-001;1.632653e+002;1.288832e-002
'unknown';0.180000;7.765110e-001;3.265306e+002;1.288832e-002
'unknown';0.190000;7.560075e-001;4.897959e+002;1.195199e-002
'unknown';0.200000;7.426803e-001;4.897959e+002;8.552403e-003
'unknown';0.210000;7.131360e-001;4.873712e+002;5.642483e-003
'unknown';0.220000;6.694784e-001;4.841219e+002;4.485785e-003
'unknown';0.230000;6.037090e-001;4.824727e+002;4.485785e-003
'unknown';0.240000;5.140213e-001;3.216322e+002;4.485785e-003
'unknown';0.250000;4.021013e-001;1.616162e+002;4.485785e-003
'unknown';0.260000;3.149054e-001;0;4.485785e-003
'unknown';0.270000;2.815892e-001;0;4.485785e-003
'unknown';0.280000;3.035553e-001;0;2.242893e-003
'unknown';0.290000;3.996064e-001;0;2.242893e-003
'unknown';0.300000;5.143501e-001;0;0
'unknown';0.310000;5.854542e-001;1.632653e+002;0
'unknown';0.320000;6.065075e-001;3.233293e+002;2.242893e-003
'unknown';0.330000;6.524873e-001;4.820227e+002;5.642483e-003
'unknown';0.340000;7.604621e-001;4.759889e+002;5.642483e-003
'unknown';0.350000;8.700156e-001;4.375870e+002;6.799179e-003
'unknown';0.360000;9.313884e-001;3.682792e+002;6.799179e-003
'unknown';0.370000;9.495746e-001;3.009382e+002;1.269020e-002
'unknown';0.380000;9.529967e-001;2.672545e+002;1.518163e-002
'unknown';0.390000;9.484744e-001;2.634305e+002;1.402493e-002
'unknown';0.400000;9.557179e-001;2.597990e+002;1.534278e-002
'unknown';0.410000;9.598899e-001;2.594977e+002;2.128982e-002
'unknown';0.420000;9.613165e-001;2.625795e+002;4.725114e-002
'unknown';0.430000;9.624460e-001;2.659626e+002;7.685447e-002
'unknown';0.440000;9.629486e-001;2.686810e+002;8.874931e-002
'unknown';0.450000;9.623682e-001;2.714782e+002;8.670881e-002
'unknown';0.460000;9.595053e-001;2.743215e+002;8.608011e-002
'unknown';0.470000;9.529524e-001;2.753666e+002;7.015743e-002
'unknown';0.480000;9.383686e-001;2.779043e+002;7.508671e-002
'unknown';0.490000;9.252359e-001;2.835819e+002;5.074126e-002
'unknown';0.500000;9.231892e-001;2.915241e+002;5.338245e-002
'unknown';0.510000;9.312496e-001;2.957387e+002;3.121858e-002
'unknown';0.520000;9.369753e-001;2.957682e+002;1.938052e-002
'unknown';0.530000;9.306929e-001;2.934444e+002;2.120571e-002
'unknown';0.540000;9.093528e-001;2.935925e+002;1.742941e-002
'unknown';0.550000;8.517290e-001;2.979638e+002;2.581153e-002
'unknown';0.560000;7.754577e-001;3.062411e+002;2.134514e-002
'unknown';0.570000;7.071587e-001;3.286209e+002;1.619233e-002
'unknown';0.580000;7.065994e-001;3.582973e+002;1.120980e-002
'unknown';0.590000;7.010648e-001;3.740905e+002;3.399589e-003
'unknown';0.600000;6.717948e-001;3.704638e+002;5.642483e-003
'unknown';0.610000;5.781189e-001;3.569047e+002;7.395707e-003
'unknown';0.620000;5.001394e-001;2.357753e+002;1.079530e-002
'unknown';0.630000;4.576633e-001;1.186813e+002;1.079530e-002
'unknown';0.640000;4.570371e-001;0;5.642483e-003
'unknown';0.650000;4.560403e-001;0;2.242893e-003
'unknown';0.660000;4.356521e-001;0;0
'unknown';0.670000;3.996327e-001;0;0
'unknown';0.680000;3.727804e-001;0;0
'unknown';0.690000;3.460966e-001;0;0
'unknown';0.700000;3.559195e-001;0;0
'unknown';0.710000;3.641076e-001;0;2.242893e-003
'unknown';0.720000;3.740064e-001;0;5.642483e-003
'unknown';0.730000;4.407088e-001;0;5.642483e-003
'unknown';0.740000;5.049161e-001;1.632653e+002;3.399589e-003
'unknown';0.750000;5.760366e-001;3.265306e+002;0
'unknown';0.760000;5.626633e-001;4.865946e+002;3.399589e-003
'unknown';0.770000;5.614526e-001;4.825688e+002;3.399589e-003
'unknown';0.780000;5.605041e-001;4.785429e+002;3.399589e-003
'unknown';0.790000;5.699050e-001;4.753416e+002;0
'unknown';0.800000;6.149723e-001;4.737415e+002;3.399589e-003
'unknown';0.810000;6.720715e-001;4.753426e+002;3.399589e-003
'unknown';0.820000;7.329357e-001;4.817451e+002;5.642483e-003
'unknown';0.830000;7.173257e-001;4.873712e+002;5.642483e-003
'unknown';0.840000;7.269543e-001;4.897959e+002;9.042072e-003
'unknown';0.850000;7.396662e-001;4.889713e+002;1.019877e-002
'unknown';0.860000;5.797647e-001;4.873222e+002;6.799179e-003
'unknown';0.870000;6.194767e-001;3.240569e+002;3.399589e-003
'unknown';0.880000;6.490065e-001;3.184789e+002;6.572025e-003
'unknown';0.890000;8.842208e-001;3.161022e+002;6.572025e-003
'unknown';0.900000;8.127022e-001;4.769103e+002;9.971615e-003
'unknown';0.910000;6.889009e-001;4.755192e+002;8.552403e-003
'unknown';0.920000;6.000371e-001;3.162798e+002;8.552403e-003
'unknown';0.930000;6.147463e-001;3.170879e+002;8.552403e-003
'unknown';0.940000;6.631460e-001;3.224242e+002;6.799179e-003
'unknown';0.950000;6.540894e-001;4.832323e+002;6.799179e-003
