name;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma
'unknown';0.000000;3.241863e-001;0;4.014988e-002
'unknown';0.010000;3.267906e-001;0;3.303138e-002
'unknown';0.020000;3.182035e-001;0;2.461074e-002
'unknown';0.030000;3.274043e-001;0;2.659536e-002
'unknown';0.040000;3.982964e-001;0;2.875802e-002
'unknown';0.050000;5.260671e-001;0;3.405553e-002
'unknown';0.060000;5.792167e-001;1.568627e+002;3.468085e-002
'unknown';0.070000;5.822198e-001;3.137255e+002;3.121605e-002
'unknown';0.080000;5.998058e-001;3.137255e+002;3.572539e-002
'unknown';0.090000;5.868049e-001;2.936149e+002;3.751349e-002
'unknown';0.100000;5.477013e-001;2.835596e+002;3.751349e-002
'unknown';0.110000;4.982415e-001;2.835596e+002;3.211850e-002
'unknown';0.120000;4.901889e-001;1.468074e+002;2.772046e-002
'unknown';0.130000;4.661426e-001;0;3.818817e-002
'unknown';0.140000;4.164093e-001;0;4.424402e-002
'unknown';0.150000;3.507966e-001;0;3.351011e-002
'unknown';0.160000;3.644134e-001;0;2.434453e-002
'unknown';0.170000;3.625053e-001;0;1.631500e-002
'unknown';0.180000;3.409094e-001;0;3.201739e-002
'unknown';0.190000;3.068735e-001;0;4.801785e-002
'unknown';0.200000;3.062686e-001;0;6.338681e-002
'unknown';0.210000;2.939154e-001;0;5.059515e-002
'unknown';0.220000;3.069640e-001;0;5.794042e-002
'unknown';0.230000;2.764915e-001;0;8.087803e-002
'unknown';0.240000;2.786749e-001;0;9.004360e-002
'unknown';0.250000;2.832065e-001;0;9.405976e-002
'unknown';0.260000;2.998259e-001;0;6.625579e-002
'unknown';0.270000;2.906621e-001;0;5.106032e-002
'unknown';0.280000;2.858294e-001;0;4.489296e-002
'unknown';0.290000;2.682092e-001;0;4.368742e-002
'unknown';0.300000;2.851953e-001;0;8.115380e-002
'unknown';0.310000;3.235782e-001;0;8.732116e-002
'unknown';0.320000;3.856888e-001;0;9.718981e-002
'unknown';0.330000;4.021817e-001;0;8.514168e-002
'unknown';0.340000;3.943295e-001;0;8.357593e-002
'unknown';0.350000;3.857110e-001;0;8.402478e-002
'unknown';0.360000;3.698078e-001;0;9.678208e-002
'unknown';0.370000;3.545706e-001;0;7.737367e-002
'unknown';0.380000;3.133265e-001;0;7.554642e-002
'unknown';0.390000;2.880304e-001;0;3.737086e-002
'unknown';0.400000;2.793308e-001;0;2.807242e-002
'unknown';0.410000;2.840120e-001;0;3.119158e-003
'unknown';0.420000;4.295409e-001;0;1.028510e-002
'unknown';0.430000;5.874102e-001;1.529510e+002;3.482947e-002
'unknown';0.440000;7.545306e-001;3.021761e+002;6.744462e-002
'unknown';0.450000;8.141909e-001;4.444406e+002;1.063756e-001
'unknown';0.460000;8.079691e-001;4.273239e+002;2.934022e-001
'unknown';0.470000;6.970007e-001;3.836339e+002;5.253119e-001
'unknown';0.480000;5.013980e-001;2.413694e+002;7.937785e-001
'unknown';0.490000;3.298953e-001;1.055350e+002;9.081995e-001
'unknown';0.500000;2.225593e-001;0;8.115220e-001
'unknown';0.510000;1.925862e-001;0;5.168878e-001
'unknown';0.520000;1.690366e-001;0;2.642693e-001
